product href,image-src,price,title
https://www.dischem.co.za/zinplex-day-cream-50ml-442,https://www.dischem.co.za/media/catalog/product/cache/c4abad14a8c43409b019ba95c1f3e4f0/6/0/6009802260555.jpg,R 99.95,Zinplex Day Cream 50ml
https://www.dischem.co.za/zinplex-cough-bee-calm-syrup-200ml-163,https://www.dischem.co.za/media/catalog/product/cache/c4abad14a8c43409b019ba95c1f3e4f0/5/f/5ffc2437c6763_6009880005062_front.jpg,R 73.95,Zinplex Cough Bee Calm Syrup 200ml
https://www.dischem.co.za/zinplex-combo-wash-gel-60-s-950,https://www.dischem.co.za/media/catalog/product/cache/c4abad14a8c43409b019ba95c1f3e4f0/6/4/6425bbb198e2b_6009802260166.jpg,R 215.00,Zinplex Combo Wash Gel 60's
https://www.dischem.co.za/zinplex-combo-wash-gel-120-s-135,https://www.dischem.co.za/media/catalog/product/cache/c4abad14a8c43409b019ba95c1f3e4f0/6/0/6009802260418.jpg,R 245.00,Zinplex Combo Wash Gel 120's
https://www.dischem.co.za/zinplex-calvit-k2-tablets-827,https://www.dischem.co.za/media/catalog/product/cache/c4abad14a8c43409b019ba95c1f3e4f0/6/0/6009706881702_front.jpg,R 126.95,Zinplex Calvit-k2 Tablets
https://www.dischem.co.za/zinplex-calcium-30-chewable-tabs-379,https://www.dischem.co.za/media/catalog/product/cache/c4abad14a8c43409b019ba95c1f3e4f0/6/0/6009880005161.jpg,R 48.95,Zinplex Calcium 30 Chewable Tabs
https://www.dischem.co.za/zinplex-baby-bum-spray-100ml-666,https://www.dischem.co.za/media/catalog/product/cache/c4abad14a8c43409b019ba95c1f3e4f0/5/f/5ffc24377d65b_6009802260746_front.jpg,R 59.99,Zinplex Baby Bum Spray 100ml
https://www.dischem.co.za/zinplex-baby-bum-cream-125ml-664,https://www.dischem.co.za/media/catalog/product/cache/c4abad14a8c43409b019ba95c1f3e4f0/5/f/5ffc24378c570_6009802260753_front.jpg,R 79.99,Zinplex Baby Bum Cream 125ml
https://www.dischem.co.za/zinplex-b-complex-60tabs-674,https://www.dischem.co.za/media/catalog/product/cache/c4abad14a8c43409b019ba95c1f3e4f0/5/f/5ffc24366bbe3_6009706881207_front.jpg,R 86.95,Zinplex B-complex 60tabs
https://www.dischem.co.za/zinplex-b-complex-tabs-30-s-863,https://www.dischem.co.za/media/catalog/product/cache/c4abad14a8c43409b019ba95c1f3e4f0/6/0/6009802260289.jpg,R 55.95,Zinplex B Complex Tabs 30's
https://www.dischem.co.za/zinplex-african-potato-cream-75ml-865,https://www.dischem.co.za/media/catalog/product/cache/c4abad14a8c43409b019ba95c1f3e4f0/5/f/5ffc2437b21ad_6009802260814_front.jpg,R 52.95,Zinplex African Potato Cream 75ml
https://www.dischem.co.za/zinplex-african-potato-cream-125ml-862,https://www.dischem.co.za/media/catalog/product/cache/c4abad14a8c43409b019ba95c1f3e4f0/5/f/5ffc24379d800_6009802260807_front.jpg,R 72.95,Zinplex African Potato Cream 125ml
https://www.dischem.co.za/zinmag-se-tablets-60s-945,https://www.dischem.co.za/media/catalog/product/cache/c4abad14a8c43409b019ba95c1f3e4f0/5/f/5ffc24368ee0c_6009802260043_front.jpg,R 119.95,Zinmag Se Tablets 60s
https://www.dischem.co.za/zinium-spot-treatment-50ml-143,https://www.dischem.co.za/media/catalog/product/cache/c4abad14a8c43409b019ba95c1f3e4f0/6/4/6405bd6a7ab32_6009620603480.jpg,R 114.95,Zinium Spot Treatment 50ml
https://www.dischem.co.za/zinium-junior-syrup-200ml-358,https://www.dischem.co.za/media/catalog/product/cache/c4abad14a8c43409b019ba95c1f3e4f0/6/4/645ba2c56942c_6009620603428.jpg,R 74.95,Zinium Junior Syrup 200ml
https://www.dischem.co.za/zinium-junior-diabetic-syrup-200ml-737,https://www.dischem.co.za/media/catalog/product/cache/c4abad14a8c43409b019ba95c1f3e4f0/6/4/645ba2c5aa96e_6009620603435.jpg,R 74.95,Zinium Junior Diabetic Syrup 200ml
https://www.dischem.co.za/zinium-infant-drops-30ml-558,https://www.dischem.co.za/media/catalog/product/cache/c4abad14a8c43409b019ba95c1f3e4f0/6/4/64088db54232e_6009620603411.jpg,R 109.95,Zinium Infant Drops 30ml
https://www.dischem.co.za/zinium-immune-gummies-30s-001,https://www.dischem.co.za/media/catalog/product/cache/c4abad14a8c43409b019ba95c1f3e4f0/6/0/6009620603305.jpg,R 99.95,Zinium Immune Gummies 30s
https://www.dischem.co.za/zinium-immune-gummies-30s-002,https://www.dischem.co.za/media/catalog/product/cache/c4abad14a8c43409b019ba95c1f3e4f0/6/0/6009620603312.jpg,R 99.95,Zinium Immune Gummies 30s
https://www.dischem.co.za/zinium-face-wash-150ml-333,https://www.dischem.co.za/media/catalog/product/cache/c4abad14a8c43409b019ba95c1f3e4f0/6/4/6405bd6a6f0fe_6009620603473.jpg,R 93.95,Zinium Face Wash 150ml
https://www.dischem.co.za/zinium-effervescent-berry-12s-new-744,https://www.dischem.co.za/media/catalog/product/cache/c4abad14a8c43409b019ba95c1f3e4f0/6/4/644bbe80ac841_6009620603466.jpg,R 75.95,Zinium Effervescent Berry 12s(new)
https://www.dischem.co.za/zinium-capsules-60s-new-741,https://www.dischem.co.za/media/catalog/product/cache/c4abad14a8c43409b019ba95c1f3e4f0/6/4/644bbe7fb3cfc_6009620603459.jpg,R 119.95,Zinium Capsules 60s(new)
