product href,image-src,price,title,action
https://www.dischem.co.za/ors-argan-oil-styling-gel-250ml-firm-sleek-hold-380,https://www.dischem.co.za/media/catalog/product/cache/c4abad14a8c43409b019ba95c1f3e4f0/6/2/6291069730005.jpg,R 52.95,Ors Argan Oil Styling Gel 250ml Firm & Sleek Hold,
https://www.dischem.co.za/ors-olive-oil-sheen-spray-85ml-normal-379,https://www.dischem.co.za/media/catalog/product/cache/c4abad14a8c43409b019ba95c1f3e4f0/6/2/6291069732474.jpg,R 28.95,Ors Olive Oil Sheen Spray 85ml Normal,Add to Cart
https://www.dischem.co.za/ors-argan-oil-sheen-spray-85ml-normal-377,https://www.dischem.co.za/media/catalog/product/cache/c4abad14a8c43409b019ba95c1f3e4f0/6/2/6291069732498.jpg,R 28.95,Ors Argan Oil Sheen Spray 85ml Normal,
https://www.dischem.co.za/kellogg-s-granola-500g-original-354,https://www.dischem.co.za/media/catalog/product/cache/c4abad14a8c43409b019ba95c1f3e4f0/5/d/5d668dcf774d7_6001306001276.jpg,R 54.95,Kellogg's Granola 500g Original,
https://www.dischem.co.za/kellogg-s-granola-500g-fruit-353,https://www.dischem.co.za/media/catalog/product/cache/c4abad14a8c43409b019ba95c1f3e4f0/5/d/5d668dcf7ff2f_6001306001290.jpg,R 47.95,Kellogg's Granola 500g Fruit,
https://www.dischem.co.za/always-maxi-pantyliners-multi-form-scented-20-s-351,https://www.dischem.co.za/media/catalog/product/cache/c4abad14a8c43409b019ba95c1f3e4f0/8/0/8001090542625.jpg,R 24.95,Always Maxi Pantyliners Multi Form Scented 20's,Add to Cart
https://www.dischem.co.za/always-maxi-pliners-normal-uncesnted-fold-wrapped-20-s-350,https://www.dischem.co.za/media/catalog/product/cache/c4abad14a8c43409b019ba95c1f3e4f0/8/0/8001090542717.jpg,R 26.95,Always Maxi Pliners Normal Uncesnted Fold & Wrapped 20's,Add to Cart
https://www.dischem.co.za/always-maxi-pliners-normal-uncesnted-fold-wrapped-40-s-348,https://www.dischem.co.za/media/catalog/product/cache/c4abad14a8c43409b019ba95c1f3e4f0/8/0/8001090542762.jpg,R 44.95,Always Maxi Pliners Normal Uncesnted Fold & Wrapped 40's,Add to Cart
https://www.dischem.co.za/always-maxi-sanitary-pads-cotton-soft-normal-9-s-346,https://www.dischem.co.za/media/catalog/product/cache/c4abad14a8c43409b019ba95c1f3e4f0/8/0/8001090687364.jpg,R 27.95,Always Maxi Sanitary Pads Cotton Soft Normal 9's,Add to Cart
https://www.dischem.co.za/always-maxi-sanitary-pads-cotton-soft-normal-10-s-344,https://www.dischem.co.za/media/catalog/product/cache/c4abad14a8c43409b019ba95c1f3e4f0/8/0/8001090687289.jpg,R 27.95,Always Maxi Sanitary Pads Cotton Soft Normal 10's,Add to Cart
https://www.dischem.co.za/always-ultra-sanitary-pads-cotton-soft-normal-10-s-340,https://www.dischem.co.za/media/catalog/product/cache/c4abad14a8c43409b019ba95c1f3e4f0/5/d/5d668d9042f02_4015400069942.jpg,R 28.95,Always Ultra Sanitary Pads Cotton Soft Normal 10's,Add to Cart
https://www.dischem.co.za/always-daily-pantyliners-multi-form-scented-60-s-339,https://www.dischem.co.za/media/catalog/product/cache/c4abad14a8c43409b019ba95c1f3e4f0/5/e/5e5d146de9dee_8001090542670.jpg,R 54.95,Always Daily Pantyliners Multi Form Scented 60's,Add to Cart
https://www.dischem.co.za/always-maxi-sanitary-pads-soft-normal-20-s-333,https://www.dischem.co.za/media/catalog/product/cache/c4abad14a8c43409b019ba95c1f3e4f0/8/0/8001090687326.jpg,R 52.95,Always Maxi Sanitary Pads Soft Normal 20's,Add to Cart
https://www.dischem.co.za/always-maxi-sanitary-pads-soft-long-18-s-332,https://www.dischem.co.za/media/catalog/product/cache/c4abad14a8c43409b019ba95c1f3e4f0/8/0/8001090687609.jpg,R 52.95,Always Maxi Sanitary Pads Soft Long 18's,Add to Cart
https://www.dischem.co.za/white-glo-charcoal-travellers-pack-331,https://www.dischem.co.za/media/catalog/product/cache/c4abad14a8c43409b019ba95c1f3e4f0/5/e/5ec6a9a87ec37_9319871001094.jpg,R 54.95,White Glo Charcoal Travellers Pack,Add to Cart
https://www.dischem.co.za/catrice-all-matt-plus-shine-control-powder-001-universal-10g-317,https://www.dischem.co.za/media/catalog/product/cache/c4abad14a8c43409b019ba95c1f3e4f0/4/2/4251232284348.jpg,R 88.95,Catrice All Matt Plus Shine Control Powder 001 Universal 10g,Add to Cart
